,name,brand,price,max power,max torque,cooling system,transmission,transmission type,displacement,cylinders,bore,stroke,valves per cylinder,spark plugs,gear shifting pattern,clutch,fuel tank capacity,mileage - arai,mileage - owner reported,top speed,braking system,front brake type,front brake size,rear tyre size,tyre type,radial tyres,rear brake type,rear brake size,wheel type,front wheel size,rear wheel size,front tyre size,front tyre pressure (rider),rear tyre pressure (rider),front tyre pressure (rider & pillion),rear tyre pressure (rider & pillion),kerb weight,overall length,overall width,wheelbase,ground clearance,seat height,overall height,chassis type
48,Pulsar,Bajaj,142055,24.13,18.74,liquid cooled,6 speed manual,chain drive,199.5,1,72,49,4,3 per cylinder,1 down 5 up,wet multiplate,12,nan,36,125,single channel abs,disc,300,130/70 - 17,tubeless,yes,disc,230,alloy,17,17,100/80 - 17,25,28,25,32,159.5,2017,804,1363,168,805,1075,pressed steel perimeter frame
49,Pulsar,Bajaj,124604,17.03,14.6,oil cooled,5 speed manual,chain drive,160.3,1,58,60.7,4,2 per cylinder,1 down 4 up,wet multiplate,12,nan,41,120,single channel abs,disc,260,120/80 - 17,tubeless,no,disc,230,alloy,17,17,90/90 - 17,25,28,25,32,151,2017,803.5,1372,176,805,1060,perimeter frame
50,Bajaj Dominar 400,Bajaj,222744,39.42,35,liquid cooled,6 speed manual,chain drive,373.3,1,89,60,4,3 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,13,nan,29,155,dual channel abs,disc,320,150/60 - r17,tubeless,yes,disc,230,alloy,17,17,110/70 - r17,29,32,29,32,193,2156,863,1453,157,800,1243,beam type perimeter frame
51,Bajaj Dominar 250,Bajaj,175054,26.63,23.5,liquid cooled,6 speed manual,chain drive,248.8,1,72,61.1,4,2 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,13,nan,32,132,dual channel abs,disc,300,130/70 - 17,tubeless,yes,disc,230,alloy,17,17,100/80 - 17,25,28,25,32,180,2156,836,1453,157,800,1112,beam type perimeter frame
52,Platina,Bajaj,67659,8.44,9.81,air cooled,5 speed manual,chain drive,115.45,1,50,58.8,2,1 per cylinder,all 5 down,wet multiplate,11,nan,70,90,cbs,drum,130,80/100 - 17,tubeless,no,drum,110,alloy,17,17,80/100 - 17,25,28,25,32,119,2006,741,1255,200,807,1100,tubular single down tube with lower cradle frame
53,Pulsar,Bajaj,144285,24.1,21.5,oil cooled,5 speed manual,chain drive,249,1,72,61.17,2,2 per cylinder,1 down 4 up,assist and slipper clutch,14,39,35,132,single channel abs,disc,300,130/70 - 17,tubeless,no,disc,230,alloy,17,17,100/80 - 17,25,28.5,25,32,162,1989,743,1351,165,795,1050,tubular frame
54,Bajaj CT 110,Bajaj,59041,8.48,9.81,air cooled,4 speed manual,chain drive,115.45,1,50,58.8,2,1 per cylinder,all 4 down,wet multiplate,10.5,nan,70,90,cbs,drum,130,3.00 x 17 - 50,tubed,no,drum,110,alloy,17,17,2.75 x 17 - 41,28,28,28,32,118,1945,752,1235,170,810,1072,tubular single down tube with lower cradle frame
55,Bajaj CT 125X,Bajaj,72023,10.7,11,air cooled,5 speed manual,chain drive,124.4,1,52,58.6,2,2 per cylinder,all 5 down,wet multiplate,11,nan,nan,95,cbs,drum,130,100/90 - 17,tubeless,no,drum,130,alloy,17,17,80/100 - 17,28,28,28,32,130,2000,810,1285,170,810,1102,"square tube, semi double cradle"
56,Avenger,Bajaj,112562,14.79,13.7,air cooled,5 speed manual,chain drive,160,1,58,60.7,2,2 per cylinder,1 down 4 up,wet multiplate,13,nan,45,105,single channel abs,disc,280,130/90 - 15,tubeless,no,drum,130,alloy,17,15,90/90 - 17,21,25,21,25,156,2210,806,1490,169,737,1070,tubular double cradle
57,Pulsar,Bajaj,144449,24.1,21.5,oil cooled,5 speed manual,chain drive,249,1,72,61.17,2,2 per cylinder,1 down 4 up,assist and slipper clutch,14,39,37.5,132,single channel abs,disc,300,130/70 - 17,tubeless,no,disc,230,alloy,17,17,100/80 - 17,25,28.5,25,32,164,1989,743,1351,165,795,1143,tubular
58,Avenger,Bajaj,138999,18.4,17.55,oil cooled,5 speed manual,chain drive,220,1,67,62.4,2,2 per cylinder,1 down 4 up,wet multiplate,13,nan,40,120,single channel abs,disc,280,130/90 - 15,tubed,no,drum,130,spoke,17,15,90/90 - 17,21,25,21,25,163,2210,806,1490,169,737,1321,tubular double cradle type
59,Honda SP 125,Honda,83086,10.72,10.9,air cooled,5 speed manual,chain drive,124,1,50,63.1,2,1 per cylinder,1 down 4 up,wet multiplate,11,nan,65,100,cbs,drum,130,80/100 - 18,tubeless,no,drum,130,alloy,18,18,80/100 - 18,25,33,25,41,116,2020,785,1285,160,790,1103,diamond
60,Activa,Honda,73663,7.68,8.84,air cooled,automatic,cvt,109.51,1,47,63.1,2,1 per cylinder,automatic,automatic,5.3,nan,47,85,cbs,drum,130,90/100 - 10,tubeless,no,drum,130,steel,12,10,90/90 - 12,22,29,22,36,106,1833,697,1260,162,692,1156,under bone
61,Honda Shine,Honda,78000,10.59,11,air cooled,5 speed manual,chain drive,123.94,1,50,63.1,2,1 per cylinder,all 5 up,wet multiplate,10.5,nan,55,102,cbs,drum,130,80/100 - 18,tubeless,no,drum,130,alloy,18,18,80/100 - 18,25,33,25,41,114,2046,737,1285,162,791,1116,diamond type
62,Honda Unicorn,Honda,104982,12.73,14,air cooled,5 speed manual,chain drive,162.7,1,57.3,63.1,2,1 per cylinder,1 down 4 up,wet multiplate,13,nan,50,106,single channel abs,disc,240,100/90 - 18,tubeless,no,drum,130,alloy,18,18,80/100 - 18,25,29,25,33,140,2081,756,1335,187,798,1103,diamond
63,Honda Dio,Honda,71502,7.65,9,fan cooled,automatic,cvt,109.51,1,47,63.1,2,1 per cylinder,automatic,automatic,5.3,nan,48,83,cbs,drum,130,90/100 - 10,tubeless,no,drum,130,steel,12,10,90/90 - 12,22,29,22,36,105,1808,723,1260,160,650,1150,under bone
64,Honda Hornet 2.0,Honda,136391,17.03,16.1,air cooled,5 speed manual,chain drive,184.4,1,61,63.09,2,1 per cylinder,1 down 4 up,wet multiplate,12,nan,45,130,single channel abs,disc,276,140/70 - 17,tubeless,yes,disc,220,alloy,17,17,110/70 - 17,25,25,25,29,142,2047,783,1355,167,790,1064,diamond type
65,Honda Hness CB350,Honda,200349,20.78,30,air cooled,5 speed manual,chain drive,348.36,1,70,90.5,4,1 per cylinder,1 down 4 up,wet multiplate,15,nan,35,125,dual channel abs,disc,310,130/70 - 18,tubeless,no,disc,240,alloy,19,18,100/90 - 19,29,33,29,36,181,2163,800,1441,166,800,1107,half duplex cradle
66,Activa,Honda,78396,8.18,10.3,air cooled,automatic,cvt,124,1,50,63.1,2,1 per cylinder,automatic,automatic,5.3,nan,47,90,cbs,drum,130,90/100 - 10,tubeless,no,drum,130,steel,12,10,90/90 - 12,22,29,22,36,111,1850,707,1260,169,712,1170,under bone
67,Honda Livo,Honda,75659,8.67,9.3,air cooled,4 speed manual,chain drive,109.51,1,47,63.12,2,1 per cylinder,all 4 up,wet multiplate,9,nan,58,85,cbs,drum,130,80/100 - 18,tubeless,no,drum,130,alloy,18,18,80/100 - 18,25,33,25,41,115,2020,751,1278,163,790,1116,diamond
68,Honda X-Blade,Honda,115759,13.67,14.7,air cooled,5 speed manual,chain drive,162.71,1,57.3,63.09,2,1 per cylinder,1 down 4 up,wet multiplate,12,nan,50,115,single channel abs,disc,276,130/70 - 17,tubeless,yes,drum,130,alloy,17,17,80/100 - 17,25,29,25,33,143,2013,786,1347,160,795,1115,diamond type
69,Honda CB300F,Honda,226217,23.8,25.6,oil cooled,6 speed manual,chain drive,293.52,1,77,63.03,4,1 per cylinder,1 down 5 up,wet multiplate,14.1,nan,nan,155,dual channel abs,disc,276,150/60r - 17,tubeless,yes,disc,220,alloy,17,17,110/70r - 17,29,29,29,33,153,2084,765,1390,177,789,1075,diamond type
70,Honda CB350RS,Honda,205107,20.78,30,air cooled,5 speed manual,chain drive,348.36,1,70,90.51,4,1 per cylinder,1 down 4 up,wet multiplate,15,nan,35,150,dual channel abs,disc,310,150/70 - 17,tubeless,no,disc,240,alloy,19,17,100/90 - 19,29,29,29,33,179,2171,804,1441,168,800,1097,half duplex cradle
71,Honda CB300R,Honda,277332,31.1,27.5,liquid cooled,6 speed manual,chain drive,286,1,76,63.04,4,1 per cylinder,1 down 5 up,wet multiplate,9.7,nan,30,150,dual channel abs,disc,296,150/60 - r17,tubeless,yes,disc,220,alloy,17,17,110/70 - r17,29,33,29,33,146,2017,802,1352,157,801,1047,diamond type
72,Honda CD 110 Dream,Honda,71306,8.67,9.3,air cooled,4 speed manual,chain drive,109.51,1,47,63.12,2,1 per cylinder,all 4 up,wet multiplate,9.1,nan,65,86,cbs,drum,130,80/100 - 18,tubeless,no,drum,130,alloy,18,18,80/100 - 18,25,33,25,41,112,2044,736,1285,162,790,1076,diamond
73,CBR,Honda,934817,85.82,57.5,liquid cooled,6 speed manual,chain drive,648.72,4,67,46,4,1 per cylinder,1 down 5 up,wet multiplate,15.4,23,nan,230,dual channel abs,disc,310,180/55 - 17,tubeless,yes,disc,240,alloy,17,17,120/70 - 17,36,42,36,42,211,2128,749,1449,132,810,1149,twin-tube type
74,Honda CB200X,Honda,148554,17,16.1,air cooled,5 speed manual,chain drive,184.4,1,61,63.09,2,1 per cylinder,1 down 4 up,wet multiplate,12,nan,43,130,single channel abs,disc,276,140/70 - 17,tubeless,no,disc,220,alloy,17,17,110/70 - 17,25,25,25,29,147,2035,843,1355,167,810,1248,diamond type
75,Honda Grazia,Honda,82398,8.14,10.3,fan cooled,automatic,cvt,124,1,50,63.1,2,1 per cylinder,automatic,automatic,5.3,nan,45,90,cbs,drum,130,90/100 - 10,tubeless,no,drum,130,alloy,12,10,90/90 - 12,22,29,22,36,108,1829,707,1260,171,708,1167,under bone
76,CBR,Honda,2372222,215,113,liquid cooled,6 speed manual,chain drive,1000,4,81,48.5,4,1 per cylinder,1 down 5 up,wet multiplate with assist and slipper clutch,16.1,nan,nan,297,dual channel abs,disc,330,200/55 - zr17,tubeless,yes,disc,220,alloy,17,17,120/70 - zr17,36,42,36,42,201,2100,745,1455,115,830,1140,aluminium composite twin spar
77,Honda Goldwing,Honda,3988635,124.7,170,liquid cooled,7 speed automatic,shaft drive,1833,6,73,73,4,1 per cylinder,automatic/electronic,wet multiplate,21.1,nan,nan,230,dual channel abs,disc,320,200/55 - r16,tubeless,yes,disc,316,alloy,18,16,130/70 - r18,36,36,36,36,390,2615,905,1695,130,745,1430,"aluminium die-cast, twin tube"
78,Honda Africa Twin,Honda,1601500,97.89,103,liquid cooled,6 speed manual,chain drive,1082,2,92,81.45,8,1 per cylinder,1 down 5 up,wet multiplate,24.5,24,nan,200,switchable abs,disc,310,150/70 - r18,tubeless,no,disc,256,spoke,21,18,90/90 - 21,29,36,32,41,239,2307,963,1558,210,810,1523,semi double cradle
79,Honda CB650R,Honda,914337,85.82,57.5,liquid cooled,6 speed manual,chain drive,648.72,4,67,46,4,1 per cylinder,1 down 5 up,wet multiplate,15.4,nan,nan,220,dual channel abs,disc,310,180/55 - 17,tubeless,yes,disc,240,alloy,17,17,120/70 - 17,36,42,36,42,206,2128,784,1449,148,810,1076,twin-tube type
80,Yamaha MT 15 V2,Yamaha,165390,18.1,14.1,liquid cooled,6 speed manual,chain drive,155,1,58,58.7,4,1 per cylinder,1 down 5 up,wet multiplate,10,nan,46.5,130,single channel abs,disc,282,140/70 - r17,tubeless,yes,disc,220,alloy,17,17,100/80 - 17,32,36,32,39,139,2015,800,1325,170,810,1070,deltabox
81,Yamaha R15 V4,Yamaha,180687,18.1,14.2,liquid cooled,6 speed manual,chain drive,155,1,58,58.7,4,1 per cylinder,1 down 5 up,wet multiplate,11,nan,45,140,dual channel abs,disc,282,140/70 - r17,tubeless,yes,disc,220,alloy,17,17,100/80 - 17,29,33,29,33,142,1990,725,1325,170,815,1135,deltabox
82,Yamaha FZ S FI,Yamaha,121979,12.2,13.3,air cooled,5 speed manual,chain drive,149,1,57.3,57.9,2,1 per cylinder,1 down 4 up,wet multiplate,13,nan,46,115,single channel abs,disc,282,140/60 - r17,tubeless,yes,disc,220,alloy,17,17,100/80 - 17,28,28,28,28,135,1990,780,1330,165,790,1080,diamond type
83,Yamaha FZ FI,Yamaha,113636,12.2,13.3,air cooled,5 speed manual,chain drive,149,1,57.3,57.9,2,1 per cylinder,1 down 4 up,wet multiplate,13,nan,46,115,single channel abs,disc,282,140/60 - r17,tubeless,yes,disc,220,alloy,17,17,100/80 - 17,26,30,26,30,135,1990,780,1330,165,790,1080,diamond
84,Yamaha R15S,Yamaha,163734,18.3,14.1,liquid cooled,6 speed manual,chain drive,155,1,58,58.7,4,1 per cylinder,1 down 5 up,wet multiplate,11,nan,45,136,dual channel abs,disc,282,140/70 - r17,tubeless,yes,disc,220,alloy,17,17,100/80 - 17,29,33,29,33,142,1990,725,1325,170,815,1135,deltabox
85,Yamaha FZ X,Yamaha,135240,12.2,13.3,air cooled,5 speed manual,chain drive,149,1,57.3,57.9,2,1 per cylinder,1 down 4 up,wet multiplate,10,nan,48,115,single channel abs,disc,282,140/60 - r17,tubeless,yes,disc,220,alloy,17,17,100/80 - 17,29,33,29,33,139,2020,785,1330,165,810,1115,single downtube frame
86,Yamaha FZ25,Yamaha,150623,20.51,20.1,air cooled,5 speed manual,chain drive,249,1,74,58,2,1 per cylinder,1 down 4 up,wet multiplate,14,42,38,130,dual channel abs,disc,282,140/70 - 17,tubeless,no,disc,220,alloy,17,17,100/80 - 17,25,29,25,29,153,2015,775,1360,160,795,1075,diamond
87,Yamaha Ray ZR 125,Yamaha,83273,8.04,10.3,air cooled,automatic,cvt,125,1,52.4,57.9,2,1 per cylinder,automatic,automatic,5.2,nan,52,90,ubs,drum,190,110/90 - 10,tubeless,no,drum,120,alloy,12,10,90/90 - 12,22,29,22,36,98,1880,685,1280,145,785,1190,light weight frame
88,Yamaha Fascino 125,Yamaha,79456,8.04,10.3,air cooled,automatic,cvt,125,1,52.4,57.9,2,1 per cylinder,automatic,automatic,5.2,nan,50,90,ubs,drum,130,110/90 - 10,tubeless,no,drum,130,alloy,12,10,90/90 - 12,22,29,22,29,99,1920,685,1280,145,780,1150,underbone
89,Yamaha Aerox 155,Yamaha,141554,14.79,13.9,liquid cooled,automatic,cvt,155,1,58,58.7,2,1 per cylinder,automatic,automatic,5.5,nan,44.5,115,single channel abs,disc,230,140/70 - 14,tubeless,yes,drum,130,alloy,14,14,110/80 - 14,29,33,29,33,126,1980,700,1350,145,790,1150,underbone
90,Suzuki Access 125,Suzuki,77378,8.6,10,air cooled,automatic,cvt,124,1,52.5,57.4,2,1 per cylinder,automatic,automatic,5,nan,48,90,cbs,drum,120,90/100 - 10,tubeless,no,drum,120,steel,12,10,90/90 - 12,22,29,22,36,104,1870,690,1265,160,773,1160,steel
91,Suzuki Gixxer SF,Suzuki,135702,13.4,13.8,air cooled,5 speed manual,chain drive,155,1,56,62.9,2,1 per cylinder,1 down 4 up,wet multiplate,12,nan,45,125,single channel abs,disc,266,140/60 - r17,tubeless,yes,disc,240,alloy,17,17,100/80 - 17,29,33,29,33,148,2025,715,1340,165,795,1035,diamond
92,Suzuki Burgman Street 125,Suzuki,89436,8.58,10,air cooled,automatic,cvt,124,1,52.5,57.4,2,1 per cylinder,automatic,automatic,5.5,nan,49,95,cbs,disc,120,90/100 - 10,tubeless,no,drum,120,alloy,12,10,90/90 - 12,22,29,22,36,110,1880,715,1265,160,780,1140,bone type
93,Suzuki Gixxer,Suzuki,130718,13.41,13.8,air cooled,5 speed manual,chain drive,155,1,56,62.9,2,1 per cylinder,1 down 4 up,wet multiplate,12,nan,45,115,single channel abs,disc,266,140/60 - r17,tubeless,yes,disc,240,alloy,17,17,100/80 - 17,29,33,29,33,141,2020,800,1335,160,795,1035,diamond
94,Suzuki Gixxer SF 250,Suzuki,188738,26.13,22.2,oil cooled,6 speed manual,chain drive,249,1,76,54.9,4,1 per cylinder,1 down 5 up,wet multiplate,12,nan,35.5,150,dual channel abs,disc,300,150/60 - r17,tubeless,yes,disc,220,alloy,17,17,110/70 - r17,29,33,29,33,161,2010,740,1345,165,800,1035,diamond
95,Suzuki Gixxer 250,Suzuki,177973,26.13,22.2,oil cooled,6 speed manual,chain drive,249,1,76,54.9,4,1 per cylinder,1 down 5 up,wet multiplate,12,nan,35,130,dual channel abs,disc,300,150/60 - r17,tubeless,yes,disc,220,alloy,17,17,110/70 - r17,29,33,29,33,156,2010,805,1340,165,800,1035,diamond
96,Suzuki Katana,Suzuki,1366892,150.19,106,liquid cooled,6 speed manual,chain drive,999,4,73.4,59,4,1 per cylinder,1 down 5 up,assist and slipper clutch,12,nan,nan,240,dual channel abs,disc,310,190/50 - zr17,tubeless,yes,disc,240,alloy,17,17,120/70 - zr17,36,42,36,42,217,2130,820,1460,140,825,1100,monocoque frame
97,Suzuki V-Strom 650 XT,Suzuki,892801,69.7,62,liquid cooled,6 speed manual,chain drive,645,2,81,62.6,4,1 per cylinder,1 down 5 up,wet multiplate,20,25,nan,190,dual channel abs,disc,310,150/70 - r17,tubeless,yes,disc,260,spoke,19,17,110/80 - r19,36,42,36,42,216,2275,910,1560,170,835,1405,aluminum twin-spar frame
98,Duke,KTM,190851,24.67,19.3,liquid cooled,6 speed manual,chain drive,199.5,1,72,49,4,1 per cylinder,1 down 5 up,wet multiplate,13.4,nan,33.5,142,dual channel abs,disc,300,150/60 - 17,tubeless,yes,disc,230,alloy,17,17,110/70 - 17,29,29,29,32,159,2072,831,1357,155,822,1109,split-trellis frame (tubular)
99,Duke,KTM,236090,29.6,24,liquid cooled,6 speed manual,chain drive,248.76,1,72,61.1,4,1 per cylinder,1 down 5 up,assist and slipper clutch,13.4,nan,32,148,switchable abs,disc,320,150/60 - 17,tubeless,yes,disc,230,alloy,17,17,110/70 - 17,29,29,29,32,170,2072,831,1357,151,822,1109,split-trellis frame (tubular)
100,Duke,KTM,295182,42.9,37,liquid cooled,6 speed manual,chain drive,373.27,1,89,60,4,1 per cylinder,1 down 5 up,assist and slipper clutch,13.4,nan,26,167,switchable abs,disc,320,150/60 - 17,tubeless,yes,disc,230,alloy,17,17,110/70 - 17,29,29,29,32,171,2072,831,1357,151,822,1109,split-trellis frame (tubular)
101,Duke,KTM,176937,14.3,12,liquid cooled,6 speed manual,chain drive,124.7,1,58,47.2,4,1 per cylinder,1 down 5 up,wet multiplate,13.4,nan,40,112,single channel abs,disc,300,150/60 - r17,tubeless,yes,disc,230,alloy,17,17,110/70 - r17,29,29,29,32,159,1993,789,1366,155,822,1083,split-trellis frame (tubular)
103,KTM 390 Adventure,KTM,337292,42.3,37,liquid cooled,6 speed manual,chain drive,373,1,89,60,4,1 per cylinder,1 down 5 up,assist and slipper clutch,14.5,nan,28,180,switchable abs,disc,320,130/80 - 17,tubeless,yes,disc,230,alloy,19,17,100/90 - 19,29,29,29,32,177,2154,900,1430,200,855,1400,"steel trellis frame, powder-coated"
104,KTM 250 Adventure,KTM,242595,29.5,24,liquid cooled,6 speed manual,chain drive,248,1,72,61.1,4,1 per cylinder,1 down 5 up,assist and slipper clutch,14.5,nan,nan,140,dual channel abs,disc,320,130/80 - 17,tubeless,yes,disc,230,alloy,19,17,100/90 - 19,29,29,29,32,177,2154,900,1430,200,855,1263,"steel trellis frame, powder-coated"
105,Jawa 42,Jawa,174573,26.95,26.84,liquid cooled,6 speed manual,chain drive,294.72,1,76,65,4,1 per cylinder,1 down 5 up,wet multiplate,13.2,nan,33,130,single channel abs,disc,280,120/80 - 17,tubed,no,drum,153,spoke,18,17,90/90 - 18,23,28,23,30,182,2071,833,1369,165,765,1065,double cradle
106,Jawa Standard,Jawa,183648,27,27.05,liquid cooled,6 speed manual,chain drive,293,1,76,65,4,1 per cylinder,1 down 5 up,wet multiplate,14,nan,30,122,single channel abs,disc,280,120/80 - 17,tubed,no,drum,153,spoke,18,17,90/90 - 18,23,28,23,28,172,2071,833,1369,165,765,1090,double cradle
107,Ninja,Kawasaki,7990000,305.75,165,liquid cooled,6 speed manual,chain drive,998,4,76,55,4,1 per cylinder,1 down 5 up,wet multiplate,17,nan,15,400,dual channel abs,disc,330,190/650 - r17,tubeless,yes,disc,250,alloy,17,17,120/600 - r17,42,42,42,42,216,2070,850,1450,130,830,1160,"trellis, high-tensile steel with swingarm mounting plate"
108,Ninja,Kawasaki,340000,38.88,26.1,liquid cooled,6 speed manual,chain drive,296,2,62,49,4,1 per cylinder,1 down 5 up,assist and slipper clutch,17,nan,nan,160,dual channel abs,disc,290,140/70 - r17,tubeless,yes,disc,220,alloy,17,17,110/70 - r17,28,32,28,32,179,2015,715,1405,140,780,1110,"tube diamond, steel"
109,Ninja,Kawasaki,1614985,200.21,114.9,liquid cooled,6 speed manual,chain drive,998,4,76,55,4,1 per cylinder,1 down 5 up,wet multiplate,17,nan,nan,299,dual channel abs,disc,330,190/55 - zr17,tubeless,yes,disc,220,alloy,17,17,120/70 - zr17,36,42,36,42,207,2085,750,1450,135,835,1185,"twin spar, cast aluminium"
110,Kawasaki Z900,Kawasaki,902000,123.64,98.6,liquid cooled,6 speed manual,chain drive,948,4,73.4,56,4,1 per cylinder,1 down 5 up,wet multiplate,17,nan,nan,195,dual channel abs,disc,300,180/55 - zr17,tubeless,yes,disc,250,alloy,17,17,120/70 - zr17,36,42,36,42,212,2070,825,1455,145,820,1080,"trellis, high tensile steel"
111,Ninja,Kawasaki,513959,44.7,37,liquid cooled,6 speed manual,chain drive,399,2,70,51.8,2,1 per cylinder,1 down 5 up,assist and slipper clutch,14,nan,nan,169,dual channel abs,disc,286,150/60 - 17,tubeless,yes,disc,193,alloy,17,17,110/70 - 17,28,32,28,32,168,1990,710,1370,140,785,1120,"trellis, high-tensile steel"
112,Kawasaki Ninja 650,Kawasaki,712000,67.3,64,liquid cooled,6 speed manual,chain drive,649,2,83,60,4,1 per cylinder,1 down 5 up,assist and slipper clutch,15,nan,30,210,dual channel abs,disc,300,160/60 - zr17,tubeless,yes,disc,220,alloy,17,17,120/70 - zr17,32,36,32,36,196,2115,740,1410,130,790,1145,"trellis, high-tensile steel"
113,Kawasaki Z650,Kawasaki,643034,67.31,64,liquid cooled,6 speed manual,chain drive,649,2,83,60,4,1 per cylinder,1 down 5 up,wet multiplate,15,nan,nan,201,dual channel abs,disc,300,160/60 - zr17,tubeless,yes,disc,220,alloy,17,17,120/70 - zr17,32,36,32,36,191,2115,765,1410,130,790,1065,"trellis, high-tensile steel"
114,Ninja,Kawasaki,1209967,140.13,111,liquid cooled,6 speed manual,chain drive,1043,4,77,56,4,1 per cylinder,1 down 5 up,wet multiplate,19,nan,nan,244,dual channel abs,disc,300,190/50 - zr17,tubeless,yes,disc,250,alloy,17,17,120/70 - zr17,36,42,36,42,238,2100,825,1440,135,835,1190,"twin-tube, aluminium"
115,Kawasaki Vulcan S,Kawasaki,640000,59.94,62.4,liquid cooled,6 speed manual,chain drive,649,2,83,60,4,1 per cylinder,1 down 5 up,wet multiplate,14,nan,nan,186,dual channel abs,disc,300,160/60 - r17,tubeless,yes,disc,250,alloy,18,17,120/70 - r18,32,36,32,36,235,2310,855,1575,130,705,1090,"perimeter, high-tensile steel"
116,Kawasaki Z H2,Kawasaki,2301733,197.26,137,liquid cooled,6 speed manual,chain drive,998,4,76,55,4,1 per cylinder,1 down 5 up,assist and slipper clutch,19,nan,nan,280,dual channel abs,disc,320,190/55 - zr17,tubeless,yes,disc,260,alloy,17,17,120/70 - zr17,33,36,33,36,239,2085,810,1455,140,830,1130,"trellis, high-tensile steel"
117,Kawasaki Z650RS,Kawasaki,692036,67.31,64,liquid cooled,6 speed manual,chain drive,649,2,83,60,4,1 per cylinder,1 down 5 up,wet multiplate,12,nan,nan,201,dual channel abs,disc,300,160/60 - zr17,tubeless,yes,disc,220,alloy,17,17,120/70 - zr17,32,36,32,36,192,2065,800,1405,125,800,1115,"trellis, high-tensile steel"
118,Kawasaki Versys 650,Kawasaki,753951,65.7,61,liquid cooled,6 speed manual,chain drive,649,2,83,60,4,1 per cylinder,1 down 5 up,wet multiplate,21,nan,nan,199,dual channel abs,disc,300,160/60 - zr17,tubeless,yes,disc,250,alloy,17,17,120/70 - zr17,33,36,33,42,219,2165,840,1415,170,845,1400,"diamond, high-tensile steel"
119,Kawasaki W800,Kawasaki,732773,50.95,62.9,air cooled,5 speed manual,chain drive,773,2,77,83,4,1 per cylinder,1 down 4 up,assist and slipper clutch,15,nan,nan,177,dual channel abs,disc,320,130/80 - 18,tubeless,yes,disc,270,spoke,18,18,100/90 - 18,30,31,30,31,224,2135,925,1465,130,770,1120,double-cradle high tensile steel
120,Kawasaki Versys 1000,Kawasaki,1219000,118.27,102,liquid cooled,6 speed manual,chain drive,1043,4,77,56,4,1 per cylinder,1 down 5 up,assist and slipper clutch,21,nan,nan,240,dual channel abs,disc,310,180/55 - zr17,tubeless,yes,disc,250,alloy,17,17,120/70 - zr17,32,36,36,40,255,2270,895,1520,150,840,1400,"twin-tube, aluminium"
121,SR,Aprilia,131349,10.84,11.6,air cooled,automatic,cvt,160.03,1,58,60.6,3,1 per cylinder,automatic,automatic,6,nan,35,90,single channel abs,disc,220,120/70 - 14,tubeless,no,drum,140,alloy,14,14,120/70 - 14,20,26,20,32,122,1985,806,1365,169,780,1166,tubular chassis with open single cradle
122,SR,Aprilia,122451,9.78,9.7,air cooled,automatic,cvt,124.45,1,52,58.6,3,1 per cylinder,automatic,automatic,6,nan,40,90,cbs,disc,220,120/70 - 14,tubeless,yes,drum,140,alloy,14,14,120/70 - 14,20,26,20,32,115,1985,806,1365,155,780,1166,tubular chassis
123,Aprilia Storm 125,Aprilia,102253,9.78,9.6,air cooled,automatic,cvt,124.45,1,52,58.6,3,1 per cylinder,automatic,automatic,6,nan,40,90,cbs,drum,150,130/80 - 12,tubeless,no,drum,140,alloy,12,12,120/80 - 12,20,26,20,32,118,1985,806,1365,130,755,1148,tubular steel frame
124,Aprilia SXR 160,Aprilia,143872,10.84,11.6,air cooled,automatic,cvt,160.03,1,58,60.6,3,1 per cylinder,automatic,automatic,7,nan,35,100,single channel abs,disc,220,120/70 - 12,tubeless,no,drum,140,alloy,12,12,120/70 - 12,20,26,20,32,129,1960,803,1353,160,775,1205,underbone
125,Aprilia SXR 125,Aprilia,132615,9.38,9.2,air cooled,automatic,cvt,124.45,1,52,58.6,3,1 per cylinder,automatic,automatic,7,nan,nan,90,cbs,disc,220,120/70 - 12,tubeless,no,drum,140,alloy,12,12,120/70 - 12,20,26,20,32,128,1963,803,1361,161,775,1160,tubular chassis with open single cradle
127,Aprilia RSV4 1100 Factory,Aprilia,2369000,213.89,125,liquid cooled,6 speed manual,chain drive,1099,4,81,53.32,4,1 per cylinder,1 down 5 up,wet multiplate,17.9,nan,nan,305,dual channel abs,disc,330,200/55 zr - 17,tubeless,yes,disc,220,alloy,17,17,120/70 zr - 17,36,42,36,42,202,2055,735,1435,130,845,1150,aluminium dual beam chassis with pressed and cast sheet elements
128,Aprilia Tuono Factory,Aprilia,2066000,172.58,122,liquid cooled,6 speed manual,chain drive,1077,4,81,52.3,4,1 per cylinder,1 down 5 up,wet multiplate,18.5,nan,nan,265,dual channel abs,disc,330,200/55 zr - 17,tubeless,yes,disc,220,alloy,17,17,120/70 zr - 17,33,36,36,40,209,2070,810,1452,125,837,1080,aluminium dual beam chassis with pressed and cast sheet elements
130,Benelli Imperiale 400,Benelli,234886,20.7,29,air cooled,5 speed manual,chain drive,374,1,72.7,90,4,1 per cylinder,1 down 4 up,wet multiplate,12,31,30,115,dual channel abs,disc,300,130/80 - 18,tubed,yes,disc,240,spoke,19,18,100/90 - 19,32,36,32,36,205,2170,820,1440,165,780,1120,double cradle with steel tubes and plates
