,name,brand,price,max power,max torque,cooling system,transmission,transmission type,displacement,cylinders,bore,stroke,valves per cylinder,spark plugs,gear shifting pattern,clutch,fuel tank capacity,mileage - arai,mileage - owner reported,top speed,braking system,front brake type,front brake size,rear tyre size,tyre type,radial tyres,rear brake type,rear brake size,wheel type,front wheel size,rear wheel size,front tyre size,front tyre pressure (rider),rear tyre pressure (rider),front tyre pressure (rider & pillion),rear tyre pressure (rider & pillion),kerb weight,overall length,overall width,wheelbase,ground clearance,seat height,overall height,chassis type
183,Bonneville,Triumph,1139000,78.9,105,liquid cooled,6 speed manual,chain drive,1200,2,97.6,80,4,1 per cylinder,1 down 5 up,wet multiplate with torque assist clutch,14.5,21,nan,190,dual channel abs,disc,310,150/70 - r17,tubeless,yes,disc,255,spoke,18,17,100/90 - 18,32,36,32,36,236,2120,780,1450,140,790,1100,"tubular steel, with twin cradles"
184,Bonneville,Triumph,1285000,76.9,106,liquid cooled,6 speed manual,chain drive,1200,2,97.6,80,4,1 per cylinder,1 down 5 up,wet multiplate with torque assist clutch,12,21.7,nan,161,dual channel abs,disc,310,150/80 - r16,tubeless,yes,disc,255,spoke,16,16,mt90 - b16,33,36,33,36,263,2225,910,1500,140,705,1055,"tubular steel, twin cradle frame"
185,Triumph Bonneville T100,Triumph,1004000,64.1,80,liquid cooled,5 speed manual,chain drive,900,2,84.6,80,4,1 per cylinder,1 down 4 up,wet multiplate with torque assist clutch,14.5,24,nan,185,dual channel abs,disc,310,150/70 - r17,tubeless,yes,disc,255,spoke,18,17,100/90 - 18,32,36,32,36,228,2230,780,1450,140,790,1100,"tubular steel, twin cradle frame"
186,Triumph Tiger 850 Sport,Triumph,1195000,84,82,liquid cooled,6 speed manual,chain drive,888,3,78,61.9,4,1 per cylinder,1 down 5 up,assist and slipper clutch,20,19,nan,160,dual channel abs,disc,320,150/70 - r17,tubeless,no,disc,255,alloy,19,17,100/90 - 19,36,42,36,42,192,2240,830,1556,203,810,1410,"tubular steel frame, bolt on sub frame"
187,Vespa ZX 125,Vespa,116135,9.78,9.6,air cooled,automatic,cvt,124.45,1,52,58.6,3,1 per cylinder,automatic,automatic,7.4,nan,nan,95,cbs,disc,200,90/100 - 10,tubeless,no,drum,140,alloy,10,10,90/100 - 10,20,26,20,32,114,1770,690,1290,155,770,1140,monocoque full-steel body construction
188,Vespa SXL 125,Vespa,134313,9.78,9.6,air cooled,automatic,cvt,124.45,1,52,58.6,3,1 per cylinder,automatic,automatic,7.4,nan,40,90,cbs,disc,200,120/70 - 10,tubeless,no,drum,140,alloy,11,10,110/70 - 11,20,26,20,32,114,1770,690,1290,155,770,1140,monocoque full steel body construction
189,Vespa SXL 150,Vespa,148261,10.32,10.6,air cooled,automatic,cvt,149.5,1,58,56.6,3,1 per cylinder,automatic,automatic,7.4,nan,35,95,single channel abs,disc,200,120/70 - 10,tubeless,no,drum,140,alloy,11,10,110/70 - 11,20,26,20,32,114,1770,690,1290,155,770,1140,monocoque full - steel body construction
190,Vespa VXL 125,Vespa,130438,9.78,9.6,air cooled,automatic,cvt,124.45,1,52,58.6,3,1 per cylinder,automatic,automatic,7.4,nan,39,90,cbs,disc,200,120/70 - 10,tubeless,no,drum,140,alloy,11,10,110/70 - 11,20,26,20,32,114,1770,690,1290,155,770,1140,monocoque full - steel body construction
191,Vespa VXL 150,Vespa,143895,10.32,10.6,air cooled,automatic,cvt,149.5,1,58,56.6,3,1 per cylinder,automatic,automatic,7.4,nan,45,95,single channel abs,disc,200,120/70 - 10,tubeless,no,drum,140,alloy,11,10,110/70 - 11,20,26,20,32,114,1770,690,1290,155,770,1140,monocoque full - steel body construction
192,Vespa Elegante 150,Vespa,155927,10.32,10.6,air cooled,automatic,cvt,149.5,1,60,56.6,3,1 per cylinder,automatic,automatic,7.4,nan,45,100,single channel abs,disc,200,120/70 - 10,tubeless,no,drum,140,alloy,11,10,110/70 - 11,20,26,20,32,114,1770,690,1290,155,770,1140,monocoque full - steel body construction
